variable,variable_type,responses,question_standardized,response_standardized
filenum,Non-categorical,Non-categorical variable,filenumber,
respondent,Categorical,YES,appropriate_respondent,yes
respondent,Categorical,NO,appropriate_respondent,no
highhiv,Categorical,HIGH,region_hiv_mortality,high
highhiv,Categorical,LOW,region_hiv_mortality,low
highhiv,Categorical,VERY LOW,region_hiv_mortality,very_low
highmal,Categorical,HIGH,region_malaria_mortality,high
highmal,Categorical,LOW,region_malaria_mortality,low
highmal,Categorical,VERY LOW,region_malaria_mortality,very_low
season,Categorical,DRY,season,dry
season,Categorical,WET,season,wet
rage,Non-categorical,Non-categorical variable,respondent_age,
intsex,Categorical,FEMALE,sex_respondent,female
intsex,Categorical,MALE,sex_respondent,male
intrel,Categorical,PARENT,relationship,parent
intrel,Categorical,FAMILY_MEMBER,relationship,family_member
intrel,Categorical,CHILD,relationship,child
intrel,Categorical,FRIEND,relationship,friend
intrel,Categorical,HEALTH_WORKER,relationship,health_worker
intrel,Categorical,PUBLIC_OFFICIAL,relationship,public_official
intrel,Categorical,ANOTHER_RELATIONSHIP,relationship,another_relationship
intrel,Categorical,REF,relationship,refuse_to_answer
intliv,Categorical,YES,live_with_deceased,yes
intliv,Categorical,NO,live_with_deceased,no
intliv,Categorical,DK,live_with_deceased,dk
intliv,Categorical,REF,live_with_deceased,refuse_to_answer
sexd,Categorical,MALE,sex_deceased,male
sexd,Categorical,FEMALE,sex_deceased,female
veyears,Non-categorical,Non-categorical variable,age_years,
vemonths,Non-categorical,Non-categorical variable,age_months,
vedays,Non-categorical,Non-categorical variable,age_days,
veweeks,Non-categorical,Non-categorical variable,age_weeks,
placd,Categorical,HOME,place_died,home
placd,Categorical,OTHER_HEALTH_FACILITY,place_died,other_health_facility
placd,Categorical,ON_ROUTE_TO_HOSPITAL_OR_FACILITY,place_died,en_route_to_hospital
placd,Categorical,HOSPITAL,place_died,hospital
placd,Categorical,OTHER,place_died,other
placd,Categorical,DK,place_died,dk
placd,Categorical,REF,place_died,refuse_to_answer
Venstbcr,Categorical,NO,baby_cry,no
Venstbcr,Categorical,YES,baby_cry,yes
Venstbcr,Categorical,DK,baby_cry,dk
Venstbcr,Categorical,REF,baby_cry,refuse_to_answer
crybir,Categorical,YES,cry_after_birth,yes
crybir,Categorical,NO,cry_after_birth,no
crybir,Categorical,DK,cry_after_birth,dk
crybir,Categorical,REF,cry_after_birth,refuse_to_answer
crymin,Non-categorical,Non-categorical variable,minutes_baby_cry,
crystop,Categorical,NO,stop_ability_to_cry,no
crystop,Categorical,YES,stop_ability_to_cry,yes
crystop,Categorical,DK,stop_ability_to_cry,dk
crystop,Categorical,REF,stop_ability_to_cry,refuse_to_answer
crystophr,Non-categorical,Non-categorical variable,hours_before_death_stop_cry,
Babymove,Categorical,NO,baby_move,no
Babymove,Categorical,YES,baby_move,yes
Babymove,Categorical,DK,baby_move,dk
Babymove,Categorical,REF,baby_move,refuse_to_answer
Babreath,Categorical,YES,baby_breathe,yes
Babreath,Categorical,NO,baby_breathe,no
Babreath,Categorical,DK,baby_breathe,dk
Babreath,Categorical,REF,baby_breathe,refuse_to_answer
breathbir,Categorical,YES,baby_breathe_after_birth,yes
breathbir,Categorical,NO,baby_breathe_after_birth,no
breathbir,Categorical,DK,baby_breathe_after_birth,dk
breathbir,Categorical,REF,baby_breathe_after_birth,refuse_to_answer
vesdbth1,Categorical,YES,baby_breathing_problem,yes
vesdbth1,Categorical,NO,baby_breathing_problem,no
vesdbth1,Categorical,DK,baby_breathing_problem,dk
vesdbth1,Categorical,REF,baby_breathing_problem,refuse_to_answer
Asstbreath,Categorical,YES,assisted_breathing,yes
Asstbreath,Categorical,NO,assisted_breathing,no
Asstbreath,Categorical,DK,assisted_breathing,dk
Asstbreath,Categorical,REF,assisted_breathing,refuse_to_answer
Babdead,Categorical,YES,born_dead,yes
Babdead,Categorical,NO,born_dead,no
Babdead,Categorical,DK,born_dead,dk
Babdead,Categorical,REF,born_dead,refuse_to_answer
babruise,Categorical,YES,bruises_injury,yes
babruise,Categorical,NO,bruises_injury,no
babruise,Categorical,DK,bruises_injury,dk
babruise,Categorical,REF,bruises_injury,refuse_to_answer
Babdecay,Categorical,YES,body_soft_discolored,yes
Babdecay,Categorical,NO,body_soft_discolored,no
Babdecay,Categorical,DK,body_soft_discolored,dk
Babdecay,Categorical,REF,body_soft_discolored,refuse_to_answer
acinj,Categorical,YES,injury_accident,yes
acinj,Categorical,NO,injury_accident,no
acinj,Categorical,DK,injury_accident,dk
acinj,Categorical,REF,injury_accident,refuse_to_answer
roadacc,Categorical,YES,road_accident,yes
roadacc,Categorical,NO,road_accident,no
roadacc,Categorical,DK,road_accident,dk
roadacc,Categorical,REF,road_accident,refuse_to_answer
accrole,Categorical,PEDESTRIAN,role_traffic_accident,pedestrian
accrole,Categorical,OTHER,role_traffic_accident,other
accrole,Categorical,DK,role_traffic_accident,dk
accrole,Categorical,REF,role_traffic_accident,refuse_to_answer
accpart,Categorical,PEDESTRIAN,counterpart_traffic_accident,pedestrian
accpart,Categorical,OTHER,counterpart_traffic_accident,other
accpart,Categorical,DK,counterpart_traffic_accident,dk
accpart,Categorical,REF,counterpart_traffic_accident,refuse_to_answer
nonroadacc,Categorical,YES,non_road_accident,yes
nonroadacc,Categorical,NO,non_road_accident,no
nonroadacc,Categorical,DK,non_road_accident,dk
nonroadacc,Categorical,REF,non_road_accident,refuse_to_answer
fall,Categorical,YES,injury_fall,yes
fall,Categorical,NO,injury_fall,no
fall,Categorical,DK,injury_fall,dk
fall,Categorical,REF,injury_fall,refuse_to_answer
poison,Categorical,YES,poisoning,yes
poison,Categorical,NO,poisoning,no
poison,Categorical,DK,poisoning,dk
poison,Categorical,REF,poisoning,refuse_to_answer
drown,Categorical,YES,drown,yes
drown,Categorical,NO,drown,no
drown,Categorical,DK,drown,dk
drown,Categorical,REF,drown,refuse_to_answer
venanimal,Categorical,YES,venomous_animal,yes
venanimal,Categorical,NO,venomous_animal,no
venanimal,Categorical,DK,venomous_animal,dk
venanimal,Categorical,REF,venomous_animal,refuse_to_answer
animal,Categorical,YES,non_venomous_animal,yes
animal,Categorical,NO,non_venomous_animal,no
animal,Categorical,DK,non_venomous_animal,dk
animal,Categorical,REF,non_venomous_animal,refuse_to_answer
burns,Categorical,YES,burn,yes
burns,Categorical,NO,burn,no
burns,Categorical,DK,burn,dk
burns,Categorical,REF,burn,refuse_to_answer
assault,Categorical,YES,assault,yes
assault,Categorical,NO,assault,no
assault,Categorical,DK,assault,dk
assault,Categorical,REF,assault,refuse_to_answer
firearm,Categorical,YES,firearm,yes
firearm,Categorical,NO,firearm,no
firearm,Categorical,DK,firearm,dk
firearm,Categorical,REF,firearm,refuse_to_answer
stab,Categorical,YES,stab,yes
stab,Categorical,NO,stab,no
stab,Categorical,DK,stab,dk
stab,Categorical,REF,stab,refuse_to_answer
stangled,Categorical,YES,strangled,yes
stangled,Categorical,NO,strangled,no
stangled,Categorical,DK,strangled,dk
stangled,Categorical,REF,strangled,refuse_to_answer
blunt,Categorical,YES,blunt_force,yes
blunt,Categorical,NO,blunt_force,no
blunt,Categorical,DK,blunt_force,dk
blunt,Categorical,REF,blunt_force,refuse_to_answer
nature,Categorical,YES,injury_nature,yes
nature,Categorical,NO,injury_nature,no
nature,Categorical,DK,injury_nature,dk
nature,Categorical,REF,injury_nature,refuse_to_answer
electroc,Categorical,YES,electrocution,yes
electroc,Categorical,NO,electrocution,no
electroc,Categorical,DK,electrocution,dk
electroc,Categorical,REF,electrocution,refuse_to_answer
injoth,Categorical,YES,other_injury,yes
injoth,Categorical,NO,other_injury,no
injoth,Categorical,DK,other_injury,dk
injoth,Categorical,REF,other_injury,refuse_to_answer
injacc,Categorical,YES,injury_accidental,yes
injacc,Categorical,NO,injury_accidental,no
injacc,Categorical,DK,injury_accidental,dk
injacc,Categorical,REF,injury_accidental,refuse_to_answer
injself,Categorical,YES,injury_self_inflicted,yes
injself,Categorical,NO,injury_self_inflicted,no
injself,Categorical,DK,injury_self_inflicted,dk
injself,Categorical,REF,injury_self_inflicted,refuse_to_answer
inflictinj,Categorical,YES,injury_other_inflicted,yes
inflictinj,Categorical,NO,injury_other_inflicted,no
inflictinj,Categorical,DK,injury_other_inflicted,dk
inflictinj,Categorical,REF,injury_other_inflicted,refuse_to_answer
daysold,Non-categorical,Non-categorical variable,days_old_illness_start,
grow,Categorical,YES,grow_normal_before_illness,yes
grow,Categorical,NO,grow_normal_before_illness,no
grow,Categorical,DK,grow_normal_before_illness,dk
grow,Categorical,REF,grow_normal_before_illness,refuse_to_answer
mill,Non-categorical,Non-categorical variable,months_ill_before_death,
yill,Non-categorical variable,Non-categorical variable,years_ill_before_death,
dill,Non-categorical,Non-categorical variable,days_ill_before_death,
sudden,Categorical,YES,die_suddenly,yes
sudden,Categorical,NO,die_suddenly,no
sudden,Categorical,DK,die_suddenly,dk
sudden,Categorical,REF,die_suddenly,refuse_to_answer
TB,Categorical,YES,tb,yes
TB,Categorical,NO,tb,no
TB,Categorical,DK,tb,dk
TB,Categorical,REF,tb,refuse_to_answer
HIVPOS,Categorical,YES,hiv,yes
HIVPOS,Categorical,NO,hiv,no
HIVPOS,Categorical,DK,hiv,dk
HIVPOS,Categorical,REF,hiv,refuse_to_answer
HIV,Categorical,YES,aids,yes
HIV,Categorical,NO,aids,no
HIV,Categorical,DK,aids,dk
HIV,Categorical,REF,aids,refuse_to_answer
MALPOS,Categorical,YES,malaria_positive,yes
MALPOS,Categorical,NO,malaria_positive,no
MALPOS,Categorical,DK,malaria_positive,dk
MALPOS,Categorical,REF,malaria_positive,refuse_to_answer
MALNEG,Categorical,YES,malaria_negative,yes
MALNEG,Categorical,NO,malaria_negative,no
MALNEG,Categorical,DK,malaria_negative,dk
MALNEG,Categorical,REF,malaria_negative,refuse_to_answer
DENG,Categorical,YES,dengue,yes
DENG,Categorical,NO,dengue,no
DENG,Categorical,DK,dengue,dk
DENG,Categorical,REF,dengue,refuse_to_answer
MEAS,Categorical,YES,measles,yes
MEAS,Categorical,NO,measles,no
MEAS,Categorical,DK,measles,dk
MEAS,Categorical,REF,measles,refuse_to_answer
HYP,Categorical,YES,high_blood_pressure,yes
HYP,Categorical,NO,high_blood_pressure,no
HYP,Categorical,DK,high_blood_pressure,dk
HYP,Categorical,REF,high_blood_pressure,refuse_to_answer
OHEA,Categorical,YES,heart_disease,yes
OHEA,Categorical,NO,heart_disease,no
OHEA,Categorical,DK,heart_disease,dk
OHEA,Categorical,REF,heart_disease,refuse_to_answer
DIAB,Categorical,YES,diabetes,yes
DIAB,Categorical,NO,diabetes,no
DIAB,Categorical,DK,diabetes,dk
DIAB,Categorical,REF,diabetes,refuse_to_answer
ASTH,Categorical,YES,asthma,yes
ASTH,Categorical,NO,asthma,no
ASTH,Categorical,DK,asthma,dk
ASTH,Categorical,REF,asthma,refuse_to_answer
EPIL,Categorical,YES,epilepsy,yes
EPIL,Categorical,NO,epilepsy,no
EPIL,Categorical,DK,epilepsy,dk
EPIL,Categorical,REF,epilepsy,refuse_to_answer
CAN,Categorical,YES,cancer,yes
CAN,Categorical,NO,cancer,no
CAN,Categorical,DK,cancer,dk
CAN,Categorical,REF,cancer,refuse_to_answer
COPD,Categorical,YES,chronic_obstructive_pulmonary_disease,yes
COPD,Categorical,NO,chronic_obstructive_pulmonary_disease,no
COPD,Categorical,DK,chronic_obstructive_pulmonary_disease,dk
COPD,Categorical,REF,chronic_obstructive_pulmonary_disease,refuse_to_answer
DIME,Categorical,YES,dementia,yes
DIME,Categorical,NO,dementia,no
DIME,Categorical,DK,dementia,dk
DIME,Categorical,REF,dementia,refuse_to_answer
DEPR,Categorical,YES,depression,yes
DEPR,Categorical,NO,depression,no
DEPR,Categorical,DK,depression,dk
DEPR,Categorical,REF,depression,refuse_to_answer
STRK,Categorical,YES,stroke,yes
STRK,Categorical,NO,stroke,no
STRK,Categorical,DK,stroke,dk
STRK,Categorical,REF,stroke,refuse_to_answer
SKCL,Categorical,YES,sickle_cell,yes
SKCL,Categorical,NO,sickle_cell,no
SKCL,Categorical,DK,sickle_cell,dk
SKCL,Categorical,REF,sickle_cell,refuse_to_answer
KIDDIS,Categorical,YES,kidney_disease,yes
KIDDIS,Categorical,NO,kidney_disease,no
KIDDIS,Categorical,DK,kidney_disease,dk
KIDDIS,Categorical,REF,kidney_disease,refuse_to_answer
LIVER,Categorical,YES,liver_disease,yes
LIVER,Categorical,NO,liver_disease,no
LIVER,Categorical,DK,liver_disease,dk
LIVER,Categorical,REF,liver_disease,refuse_to_answer
fev,Categorical,YES,fever,yes
fev,Categorical,NO,fever,no
fev,Categorical,DK,fever,dk
fev,Categorical,REF,fever,refuse_to_answer
dfe,Non-categorical,Non-categorical,days_fever,
mfe,Non-categorical,Non-categorical,months_fever,
fevcont,Categorical,YES,fever_continue,yes
fevcont,Categorical,NO,fever_continue,no
fevcont,Categorical,DK,fever_continue,dk
fevcont,Categorical,REF,fever_continue,refuse_to_answer
sevfev,Categorical,MILD,fever_severity,mild
sevfev,Categorical,MODERATE,fever_severity,moderate
sevfev,Categorical,SEVERE,fever_severity,severe
sevfev,Categorical,DK,fever_severity,dk
sevfev,Categorical,REF,fever_severity,refuse_to_answer
fevpat,Categorical,CONTINUOUS,fever_pattern,continuous
fevpat,Categorical,ON_AND_OFF,fever_pattern,on_and_off
fevpat,Categorical,NIGHTLY,fever_pattern,nightly
fevpat,Categorical,DK,fever_pattern,dk
fevpat,Categorical,REF,fever_pattern,refuse_to_answer
ntswet,Categorical,YES,night_sweats,yes
ntswet,Categorical,NO,night_sweats,no
ntswet,Categorical,DK,night_sweats,dk
ntswet,Categorical,REF,night_sweats,refuse_to_answer
cou,Categorical,YES,cough,yes
cou,Categorical,NO,cough,no
cou,Categorical,DK,cough,dk
cou,Categorical,REF,cough,refuse_to_answer
dco,Non-categorical,Non-categorical variable,days_cough,
mco,Non-categorical,Non-categorical variable,months_cough,
coprod,Categorical,YES,cough_productive,yes
coprod,Categorical,NO,cough_productive,no
coprod,Categorical,DK,cough_productive,dk
coprod,Categorical,REF,cough_productive,refuse_to_answer
sevco,Categorical,YES,cough_severe,yes
sevco,Categorical,NO,cough_severe,no
sevco,Categorical,DK,cough_severe,dk
sevco,Categorical,REF,cough_severe,refuse_to_answer
cobld,Categorical,YES,cough_blood,yes
cobld,Categorical,NO,cough_blood,no
cobld,Categorical,DK,cough_blood,dk
cobld,Categorical,REF,cough_blood,refuse_to_answer
whoop,Categorical,YES,whooping,yes
whoop,Categorical,NO,whooping,no
whoop,Categorical,DK,whooping,dk
whoop,Categorical,REF,whooping,refuse_to_answer
vesdbth,Categorical,YES,difficulty_breathing,yes
vesdbth,Categorical,NO,difficulty_breathing,no
vesdbth,Categorical,DK,difficulty_breathing,dk
vesdbth,Categorical,REF,difficulty_breathing,refuse_to_answer
vesdbthd,Non-categorical,Non-categorical variable,days_difficulty_breathing,
vesdbthm,Non-categorical,Non-categorical variable,months_difficulty_breathing,
vesdbthy,Non-categorical,Non-categorical variable,years_difficulty_breathing,
difreq,Categorical,CONTINUOUS,difficulty_breathing_frequency,continuous
