variable,variable_type,responses,question_standardized,response_standardized
filenum,Non-categorical,Non-categorical variable,filenumber,
vacmea,Categorical,1,vaccinated_measles,yes
vacmea,Categorical,2,vaccinated_measles,no
vacmea,Categorical,9,vaccinated_measles,dk
care,Categorical,1,treatment,yes
care,Categorical,2,treatment,no
care,Categorical,9,treatment,dk
orsdrip,Categorical,1,oral_rehydration,yes
orsdrip,Categorical,2,oral_rehydration,no
orsdrip,Categorical,8,oral_rehydration,dk
bldtrs,Categorical,1,blood_transfusion,yes
bldtrs,Categorical,2,blood_transfusion,no
bldtrs,Categorical,8,blood_transfusion,dk
feednose,Categorical,1,feed_nose,yes
feednose,Categorical,2,feed_nose,no
feednose,Categorical,8,feed_nose,dk
othtreat,Non-categorical,Non-categorical variable,treatment_specific,
home,Categorical,1,treatment_home,yes
home,Categorical,2,treatment_home,no
home,Categorical,8,treatment_home,dk
tha,Categorical,1,treatment_traditional_healer,yes
tha,Categorical,2,treatment_traditional_healer,no
tha,Categorical,8,treatment_traditional_healer,dk
govclinic,Categorical,1,treatment_government_clinic,yes
govclinic,Categorical,2,treatment_government_clinic,no
govclinic,Categorical,8,treatment_government_clinic,dk
govhosp,Categorical,1,treatment_government_hospital,yes
govhosp,Categorical,2,treatment_government_hospital,no
govhosp,Categorical,8,treatment_government_hospital,dk
privclinic,Categorical,1,treatment_private_clinic,yes
privclinic,Categorical,2,treatment_private_clinic,no
privclinic,Categorical,9,treatment_private_clinic,dk
privhosp,Categorical,1,treatment_private_hospital,yes
privhosp,Categorical,2,treatment_private_hospital,no
privhosp,Categorical,9,treatment_private_hospital,dk
pds,Categorical,1,treatment_pharmacy,yes
pds,Categorical,2,treatment_pharmacy,no
pds,Categorical,9,treatment_pharmacy,dk
rel,Categorical,1,treatment_relgious,yes
rel,Categorical,2,treatment_relgious,no
rel,Categorical,9,treatment_relgious,dk
tba,Categorical,1,treatment_nyamrerwa,yes
tba,Categorical,2,treatment_nyamrerwa,no
tba,Categorical,9,treatment_nyamrerwa,dk
bus,Categorical,1,treatment_bush_doctor,yes
bus,Categorical,2,treatment_bush_doctor,no
bus,Categorical,9,treatment_bush_doctor,dk
otcasp,Non-categorical,Non-categorical variable,treatment_other_specific,
vechospita,Categorical,vecsiaya,hospital,siaya
vechospita,Categorical,vechondo,hospital,bondo
vechospita,Categorical,veclwak,hospital,lwak
vechospita,Categorical,veckisdis,hospital,kisumu_district
vechospita,Categorical,veckisprov,hospital,kisumu_provincial
vechospita,Categorical,vecnyawara,hospital,nyawara
vechospita,Categorical,vecaluor,hospital,aluor
vechospita,Categorical,vecyala,hospital,yala
vechospita,Categorical,vecngiya,hospital,ngiya
vechospita,Categorical,otvechosp,hospital,other
vechoth,Non-categorical,Non-categorical variable,hospital_other_specific,
vecarhpn,Non-categorical,Non-categorical variable,nights_in_hospital,
