variable,variable_type,responses,question_standardized,response_standardized
vedays,Non-categorical,Non-categorical variable,age_days,
vedob,Non-categorical,Non-categorical variable,date_birth_deceased,
vedod,Non-categorical,Non-categorical variable,date_death_deceased,
filenum,Non-categorical,Non-categorical variable,filenumber,
sexd,Categorical,MALE,sex_deceased,male
sexd,Categorical,FEMALE,sex_deceased,female
placd,Categorical,AT HOME,place_died,home
placd,Categorical,AT HEALTH FACILITY,place_died,other_health_facility
placd,Categorical,ON THE WAY TO/FROM A HEALTH FACILITY,place_died,en_route_to_hospital
placd,Categorical,HOSPITAL,place_died,hospital
placd,Categorical,OTHER,place_died,other
placd,Categorical,DK,place_died,dk
placdoth,Non-categorical,Non-categorical variable,place_died_specific,
hfname,Non-categorical,Non-categorical variable,facility_name,
illnessevents,Non-categorical,Non-categorical variable,account_of_illness,
decause1,Non-categorical,Non-categorical variable,cause_death_1,
rage,Non-categorical,Non-categorical variable,respondent_age,
intsex,Categorical,FEMALE,sex_respondent,female
intsex,Categorical,MALE,sex_respondent,male
intrel,Categorical,BIOLOGICAL MOTHER,relationship,biological_mother
intrel,Categorical,FATHER,relationship,father
intrel,Categorical,GRAND PARENT,relationship,grandparent
intrel,Categorical,AUNT,relationship,aunt
intrel,Categorical,CO-WIFE TO MOTHER,relationship,co_wife
intrel,Categorical,SIBLING,relationship,sibling
intrel,Categorical,ADOPTIVE MOTHER,relationship,adoptive_mother
intrel,Categorical,OTHER,relationship,other
intliv,Categorical,YES,live_with_deceased,yes
intliv,Categorical,NO,live_with_deceased,no
intliv,Categorical,DK,live_with_deceased,dk
Acinj,Categorical,YES,injury_accident,yes
Acinj,Categorical,NO,injury_accident,no
Acinj,Categorical,DK,injury_accident,dk
Injtype,Categorical,ROAD TRAFFIC ACCIDENT,injury_type,road_accident
Injtype,Categorical,POISONING,injury_type,poisoning
Injtype,Categorical,DROWNING,injury_type,drown
Injtype,Categorical,VIOLENCE/ASSAULT,injury_type,assault
Injtype,Categorical,DK,injury_type,dk
Injtype,Categorical,FALL,injury_type,fall
Injtype,Categorical,BURN,injury_type,burn
Injtype,Categorical,OTHER,injury_type,other
Injother,Non-categorical,Non-categorical variable,injury_type_specific,
Insbite,Categorical,YES,animal,yes
Insbite,Categorical,NO,animal,no
Insbite,Categorical,DK,animal,dk
Animal,Categorical,DOG,animal_specific,dog
Animal,Categorical,SNAKE,animal_specific,snake
Animal,Categorical,INSECT,animal_specific,insect
Animal,Categorical,DK,animal_specific,dk
Animaloth,Non-categorical,Non-categorical variable,animal_other,
Injty,Categorical,YES,injury_intentional,yes
Injty,Categorical,NO,injury_intentional,no
Injty,Categorical,DK,injury_intentional,dk
Care,Categorical,YES,treatment,yes
Care,Categorical,NO,treatment,no
Care,Categorical,DK,treatment,dk
Drugs,Categorical,YES,drugs_given_for_illness,yes
Drugs,Categorical,NO,drugs_given_for_illness,no
Drugs,Categorical,DK,drugs_given_for_illness,dk
vechospita,Categorical,vecsiaya,hospital,siaya
vechospita,Categorical,vechondo,hospital,bondo
vechospita,Categorical,veclwak,hospital,lwak
vechospita,Categorical,veckisdis,hospital,kisumu_district
vechospita,Categorical,veckisprov,hospital,kisumu_provincial
vechospita,Categorical,vecnyawara,hospital,nyawara
vechospita,Categorical,vecaluor,hospital,aluor
vechospita,Categorical,vecyala,hospital,yala
vechospita,Categorical,vecngiya,hospital,ngiya
vechospita,Categorical,otvechosp,hospital,other
Otvechosp,Non-categorical,Non-categorical variable,name_of_hospital_other,
Vecarphn,Non-categorical,Non-categorical variable,nights_in_hospital,
Contact,Non-categorical,Non-categorical variable,contacts_w_health_facility_before_death,
Contactdk,Categorical,DK,contacts_w_health_facility_before_death,dk
Hccod,Categorical,YES,told_cause_of_death,yes
Hccod,Categorical,NO,told_cause_of_death,no
Hccod,Categorical,DK,told_cause_of_death,dk
Hccodsy,Non-categorical,Non-categorical variable,cause_death_told,
Hrem,Categorical,YES,traditiaonal_medicine_used,yes
Hrem,Categorical,NO,traditiaonal_medicine_used,no
Hrem,Categorical,DK,traditiaonal_medicine_used,dk
Wesd,Categorical,YES,western_drugs,yes
Wesd,Categorical,NO,western_drugs,no
Wesd,Categorical,DK,western_drugs,dk
Medi,Categorical,ANTIMALARIAL,medication_received,antimalarial
Medi,Categorical,ANTIBIOTICS,medication_received,antibiotics
Medi,Categorical,ARVS,medication_received,arvs
Medi,Categorical,BLOOD TRANSFUSION,medication_received,blood_transfusion
HOME,Categorical,YES,treatment_home,yes
HOME,Categorical,NO,treatment_home,no
HOME,Categorical,DK,treatment_home,dk
THA,Categorical,YES,treatment_traditional_healer,yes
THA,Categorical,NO,treatment_traditional_healer,no
THA,Categorical,DK,treatment_traditional_healer,dk
GOVCLINIC,Categorical,YES,treatment_government_clinic,yes
GOVCLINIC,Categorical,NO,treatment_government_clinic,no
GOVCLINIC,Categorical,DK,treatment_government_clinic,dk
GOVHOSP,Categorical,YES,treatment_government_hospital,yes
GOVHOSP,Categorical,NO,treatment_government_hospital,no
GOVHOSP,Categorical,DK,treatment_government_hospital,dk
PRIVCLINIC,Categorical,YES,treatment_private_clinic,yes
PRIVCLINIC,Categorical,NO,treatment_private_clinic,no
PRIVCLINIC,Categorical,DK,treatment_private_clinic,dk
PRIVHOSP,Categorical,YES,treatment_private_hospital,yes
PRIVHOSP,Categorical,NO,treatment_private_hospital,no
PRIVHOSP,Categorical,DK,treatment_private_hospital,dk
PDS,Categorical,YES,treatment_pharmacy,yes
PDS,Categorical,NO,treatment_pharmacy,no
PDS,Categorical,DK,treatment_pharmacy,dk
REL,Categorical,YES,treatment_relgious,yes
REL,Categorical,NO,treatment_relgious,no
REL,Categorical,DK,treatment_relgious,dk
TBA,Categorical,YES,treatment_nyamrerwa,yes
TBA,Categorical,NO,treatment_nyamrerwa,no
TBA,Categorical,DK,treatment_nyamrerwa,dk
BUS,Categorical,YES,treatment_bush_doctor,yes
BUS,Categorical,NO,treatment_bush_doctor,no
BUS,Categorical,DK,treatment_bush_doctor,dk
aq,Categorical,YES,amodiaquine,yes
aq,Categorical,NO,amodiaquine,no
aq,Categorical,DK,amodiaquine,dk
arts,Categorical,YES,artesenate,yes
arts,Categorical,NO,artesenate,no
arts,Categorical,DK,artesenate,dk
coart,Categorical,YES,coartem,yes
coart,Categorical,NO,coartem,no
coart,Categorical,DK,coartem,dk
dothersp,Non-categorical,Non-categorical variable,,
antimaloth,Non-categorical,Non-categorical variable,medication_specific,
fp,Categorical,YES,fansider_sp_falcidin,yes
fp,Categorical,NO,fansider_sp_falcidin,no
fp,Categorical,DK,fansider_sp_falcidin,dk
cq,Categorical,YES,chloroquine_malaraquin,yes
cq,Categorical,NO,chloroquine_malaraquin,no
cq,Categorical,DK,chloroquine_malaraquin,dk
qui,Categorical,YES,quinine,yes
qui,Categorical,NO,quinine,no
qui,Categorical,DK,quinine,dk
othrecs,Categorical,YES,other_records_available,yes
othrecs,Categorical,NO,other_records_available,no
othrecs,Categorical,DK,other_records_available,dk
veburpm,Categorical,YES,burial_permit,yes
veburpm,Categorical,NO,burial_permit,no
veburpm,Categorical,DK,burial_permit,dk
vebursee,Categorical,BURIAL PERMIT NOT AVAILABLE,burial_permit_available,not_available
vebursee,Categorical,"YES,AVAILABLE",burial_permit_available,available
vebursee,Categorical,NA,burial_permit_available,na
vebpcdth,Categorical,YES,death_cause_on_permit,yes
vebpcdth,Categorical,NO,death_cause_on_permit,no
vebpcdth,Categorical,DK,death_cause_on_permit,dk
bpcod,Non-categorical,Non-categorical variable,cause_death_1,
pm,Categorical,YES,post_mortem,yes
pm,Categorical,NO,post_mortem,no
pm,Categorical,DK,post_mortem,dk
pmcd,Categorical,YES,death_cause_on_post_mortem,yes
pmcd,Categorical,NO,death_cause_on_post_mortem,no
pmcd,Categorical,DK,death_cause_on_post_mortem,dk
pmcod,Non-categorical,Non-categorical variable,cause_death_1,
mch,Categorical,YES,mch_card_available,yes
mch,Categorical,NO,mch_card_available,no
mch,Categorical,DK,mch_card_available,dk
mch,Categorical,NA,mch_card_available,na
mchaanc_extract,Non-categorical,Non-categorical variable,mch_anc_card_info,
hpr,Categorical,YES,hospital_prescriptions_available,yes
hpr,Categorical,NO,hospital_prescriptions_available,no
hpr,Categorical,DK,hospital_prescriptions_available,dk
hprrel,Non-categorical,Non-categorical variable,hospital_prescriptions_information,
